Ref,Val,Package,PosX,PosY,Rot,Side
"BRD1","proteus","proteus",144.950001,193.675000,180.000000,top
"D1","SS34","D_SMA",104.900000,197.600000,180.000000,top
"D2","SS34","D_SMA",145.000000,197.374889,90.000000,top
"D3","SS34","D_SMA",130.500000,78.000000,0.000000,top
"D4","SS34","D_SMA",130.500000,83.000000,0.000000,top
"D5","SS34","D_SMA",130.500000,93.000000,0.000000,top
"D6","SS34","D_SMA",130.500000,88.000000,0.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",98.300000,197.360334,-90.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",91.000000,10.800000,0.000000,top
"G2","PROTO_AREA","PROTO_AREA",68.460000,38.120000,90.000000,top
"G3","PROTO_AREA","PROTO_AREA",68.460000,25.420000,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",76.080000,38.120000,90.000000,top
"G5","PROTO_AREA","PROTO_AREA",76.080000,25.420000,90.000000,top
"G6","PROTO_AREA","PROTO_AREA",83.700000,50.820000,180.000000,top
"G7","PROTO_AREA","PROTO_AREA",83.700000,25.420000,90.000000,top
"G8","PROTO_AREA","PROTO_AREA",83.700000,38.120000,90.000000,top
"J1","TE_179686-6_104pin_Connector","TE_179686-6_104pin_Connector",76.550000,202.800000,0.000000,top
"J2","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",19.250000,14.769999,0.000000,top
"J4","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",23.000000,47.800000,180.000000,top
"M1","Module-vr-discrete-0.1","vr-discrete",55.150000,95.300000,-90.000000,top
"M2","Module-wbo-0.3","wbo",27.575000,61.319999,-90.000000,top
"M3","Module-can-0.1","can",42.562498,70.188336,180.000000,top
"P1","Pad","PAD-TH",63.500000,191.800000,180.000000,top
"P2","Pad","PAD-TH",43.000000,196.800000,180.000000,top
"P3","Pad","PAD-TH",38.000000,198.300000,180.000000,top
"P4","Pad","PAD-TH",35.000000,195.300000,180.000000,top
"P5","Pad","PAD-TH",66.500000,191.800000,180.000000,top
"P6","Pad","PAD-TH",51.500000,187.800000,180.000000,top
"P7","Pad","PAD-TH",45.500000,187.800000,180.000000,top
"P8","Pad","PAD-TH",32.000000,199.300000,180.000000,top
"P9","Pad","PAD-TH",72.500000,191.800000,180.000000,top
"P10","Pad","PAD-TH",61.000000,188.800000,180.000000,top
"P11","Pad","PAD-TH",61.000000,184.300000,180.000000,top
"P12","Pad","PAD-TH",54.500000,187.800000,180.000000,top
"P13","Pad","PAD-TH",48.500000,187.800000,180.000000,top
"P14","Pad","PAD-TH",35.000000,199.300000,180.000000,top
"P15","Pad","PAD-TH",22.000000,198.500000,180.000000,top
"P16","Pad","PAD-TH",16.000000,198.500000,180.000000,top
"P17","Pad","PAD-TH",28.000001,198.500000,180.000000,top
"P18","Pad","PAD-TH",25.000000,198.500000,180.000000,top
"P19","Pad","PAD-TH",19.000001,198.500000,180.000000,top
"P20","Pad","PAD-TH",13.000000,198.500000,180.000000,top
"P21","Pad","PAD-TH",132.500000,188.800000,0.000000,top
"P22","Pad","PAD-TH",123.500000,188.800000,0.000000,top
"P23","Pad","PAD-TH",117.000000,188.800000,0.000000,top
"P24","Pad","PAD-TH",137.500000,198.300000,-90.000000,top
"P25","Pad","PAD-TH",137.500000,195.300000,-90.000000,top
"P26","Pad","PAD-TH",134.500000,195.300000,0.000000,top
"P27","Pad","PAD-TH",95.268524,197.000000,0.000000,top
"P28","Pad","PAD-TH",127.000000,188.800000,0.000000,top
"P29","Pad","PAD-TH",114.500000,196.500000,0.000000,top
"P30","Pad","PAD-TH",113.500000,188.800000,0.000000,top
"P31","Pad","PAD-TH",136.000000,78.000000,0.000000,top
"P32","Pad","PAD-TH",136.000000,83.000000,0.000000,top
"P33","Pad","PAD-TH",136.000000,93.000000,0.000000,top
"P34","Pad","PAD-TH",136.000000,88.000000,0.000000,top
"P35","Pad","PAD-TH",140.200000,127.400000,-90.000000,top
"P36","Pad","PAD-TH",140.200000,130.400000,-90.000000,top
"P37","Pad","PAD-TH",140.200000,136.400000,-90.000000,top
"P38","Pad","PAD-TH",141.000000,172.000000,90.000000,top
"P39","Pad","PAD-TH",141.000000,175.500000,90.000000,top
"P40","Pad","PAD-TH",141.000000,168.500000,90.000000,top
"P41","Pad","PAD-TH",146.500000,168.000000,-90.000000,top
"P42","Pad","PAD-TH",146.500000,165.000000,-90.000000,top
"P43","Pad","PAD-TH",146.500000,159.500000,-90.000000,top
"P44","Pad","PAD-TH",146.500000,156.500000,-90.000000,top
"P45","Pad","PAD-TH",146.500000,151.500000,-90.000000,top
"P46","Pad","PAD-TH",146.500000,147.500000,-90.000000,top
"P47","Pad","PAD-TH",146.500000,144.500000,-90.000000,top
"P48","Pad","PAD-TH",146.500000,139.500000,-90.000000,top
"P49","Pad","PAD-TH",140.200000,133.400000,-90.000000,top
"P50","Pad","PAD-TH",69.500000,108.000000,0.000000,top
"P51","Pad","PAD-TH",72.500000,108.000000,0.000000,top
"P52","Pad","PAD-TH",88.500000,108.000000,0.000000,top
"P53","Pad","PAD-TH",79.500000,109.500000,90.000000,top
"P54","Pad","PAD-TH",91.500000,108.000000,0.000000,top
"P55","Pad","PAD-TH",94.500000,108.000000,0.000000,top
"P56","Pad","PAD-TH",85.500000,108.000000,0.000000,top
"P57","Pad","PAD-TH",82.500000,108.000000,0.000000,top
"P58","Pad","PAD-TH",8.000000,159.500000,90.000000,top
"P59","Pad","PAD-TH",8.000000,162.500000,90.000000,top
"P60","Pad","PAD-TH",8.000000,153.500000,90.000000,top
"P61","Pad","PAD-TH",8.000000,156.500000,90.000000,top
"P62","Pad","PAD-TH",8.000000,150.500000,90.000000,top
"P63","Pad","PAD-TH",8.000000,147.500000,90.000000,top
"P64","Pad","PAD-TH",8.000000,144.500000,90.000000,top
"P65","Pad","PAD-TH",8.000000,131.000000,90.000000,top
"R1","Jumper-Pad-Pad","PAD-0805-PAD",73.000000,196.800000,-90.000000,top
"R2","Jumper-Pad-Pad","PAD-0805-PAD",121.500000,196.800000,-90.000000,top
"R3","4.7k","R0603",52.500000,191.800000,180.000000,top
"R4","4.7k","R0603",48.300000,191.800000,0.000000,top
"R5","4.7k","R0603",45.300000,191.800000,0.000000,top
"R6","4.7k","R0603",58.200000,191.800000,180.000000,top
"R7","4.7k","R0603",55.400000,191.800000,180.000000,top
"R8","4.7k","R0603",38.000000,194.800000,180.000000,top
"R9","1k","R1206",119.200000,196.900000,-90.000000,top
"R10","Jumper-Pad-Pad","PAD-0805-PAD",70.500000,196.800000,-90.000000,top
"R11","Jumper-Pad-Pad","PAD-0805-PAD",65.500000,196.800000,-90.000000,top
"R12","Jumper-Pad-Pad","PAD-0805-PAD",60.520000,196.800000,-90.000000,top
"R13","Jumper-Pad-Pad","PAD-0805-PAD",53.000000,196.800000,-90.000000,top
"R14","Jumper-Pad-Pad","PAD-0805-PAD",50.500000,196.800000,-90.000000,top
"R15","Jumper-Pad-Pad","PAD-0805-PAD",45.500000,196.800000,-90.000000,top
"R16","Jumper-Pad-Pad","PAD-0805-PAD",68.000000,196.800000,-90.000000,top
"R17","Jumper-Pad-Pad","PAD-0805-PAD",63.000000,196.800000,-90.000000,top
"R18","Jumper-Pad-Pad","PAD-0805-PAD",58.000000,196.800000,-90.000000,top
"R19","Jumper-Pad-Pad","PAD-0805-PAD",55.500000,196.800000,-90.000000,top
"R20","Jumper-Pad-Pad","PAD-0805-PAD",48.000000,196.849520,-90.000000,top
"R21","Jumper-Pad-Pad","PAD-0805-PAD",40.500000,196.800000,-90.000000,top
"R22","Jumper-Pad-Pad","PAD-0805-PAD",110.000000,196.800000,-90.000000,top
"R23","Jumper-Pad-Pad","PAD-0805-PAD",142.000000,196.800000,-90.000000,top
"R24","Jumper-Pad-Pad","PAD-0805-PAD",130.000000,196.800000,-90.000000,top
"R25","Jumper-Pad-Pad","PAD-0805-PAD",127.500000,196.800000,-90.000000,top
"R26","Jumper-Pad-Pad","PAD-0805-PAD",125.000000,196.800000,-90.000000,top
"R27","Jumper-Pad-Pad","PAD-0805-PAD",117.000000,196.800000,-90.000000,top
"R28","Jumper-Pad-Pad","PAD-0805-PAD",132.000000,196.800000,-90.000000,top
"R29","Jumper-Pad-Pad","PAD-0805-PAD",56.025000,72.300000,-90.000000,top
